country,year,IncomeGroup,TempChange,GM_PM25,sro_year,ssro_year,Urban,CHERate,OutPocketRate,CPI,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,J01A,J01B,J01C,J01D,J01E,J01F,J01G,J01M,SE.PRM.NENR,SE.SEC.NENR,AnimalmgKg,AnimalmgKg_adj,Aminoglycosides,Amphenicols,Cephalosporins,Lincosamides,Macrolides,Fluoroquinolones,Other quinolones,Penicillins,Pleuromutilins,Polypeptides,Sulfonamides,Tetracyclines,Others
84,1999,L,0.564,26.2,1.128476148,1.188885435,43.184,NA,NA,33,1.925718181,5.571708832,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.06458,31.73723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1999,H,0.8,17,1.179292608,0.935836592,72.597,NA,NA,49,1.921627883,7.100577303,NA,87.75,27.32153,NA,NA,NA,NA,NA,NA,NA,NA,94.60154,79.8864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1999,UM,0.617,11.7,0,0,35.45,NA,NA,NA,2.497185853,5.57863921,NA,89.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.0834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,1999,NA,0.515,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1999,H,NA,2.8,NA,NA,92.946,NA,NA,NA,2.467347708,6.065206128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1999,LM,0.558,18.6,4.659402053,3.938451751,44.995,NA,NA,32,2.023471292,5.915399835,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.58983,22.06259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1999,L,0.512,33.1,3.15161876,5.195889606,30.595,NA,NA,NA,1.522041783,4.431363764,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.77111,12.00841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1999,L,0.746,35.5,2.432248003,3.29291153,35.865,NA,NA,NA,1.632502651,NA,NA,59.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1999,LM,0.405,9.8,1.968081621,5.647697007,28.782,NA,NA,NA,0.585541808,4.875061263,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.71633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1999,L,1.147,12.7,1.406546401,0.101385699,34.992,NA,NA,NA,2.474007921,5.586587305,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
